"","SiteYearLine","Site","Year","CanolaLine","Week","SampleID","SiteYear","s2","s","s.std","s.rev","Yield","yield.std","importance1","importance2","importance3"
"1","L.2016.NAM-0","L",2016,"NAM-0",1,"L.2016.NAM-0.01.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"2","L.2016.NAM-0","L",2016,"NAM-0",2,"L.2016.NAM-0.02.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"3","L.2016.NAM-0","L",2016,"NAM-0",3,"L.2016.NAM-0.03.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"4","L.2016.NAM-0","L",2016,"NAM-0",4,"L.2016.NAM-0.04.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"5","L.2016.NAM-0","L",2016,"NAM-0",5,"L.2016.NAM-0.05.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"6","L.2016.NAM-0","L",2016,"NAM-0",6,"L.2016.NAM-0.06.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"7","L.2016.NAM-0","L",2016,"NAM-0",7,"L.2016.NAM-0.07.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"8","L.2016.NAM-0","L",2016,"NAM-0",8,"L.2016.NAM-0.08.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"9","L.2016.NAM-0","L",2016,"NAM-0",9,"L.2016.NAM-0.09.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"10","L.2016.NAM-0","L",2016,"NAM-0",10,"L.2016.NAM-0.10.R","L.2016",118.239333430717,10.8737911250271,0.821222324949625,800.102140686216,2329.26,0.478368660560268,0.137788467245683,0.209139964071898,0.158398467515199
"11","L.2016.NAM-13","L",2016,"NAM-13",1,"L.2016.NAM-13.01.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"12","L.2016.NAM-13","L",2016,"NAM-13",2,"L.2016.NAM-13.02.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"13","L.2016.NAM-13","L",2016,"NAM-13",3,"L.2016.NAM-13.03.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"14","L.2016.NAM-13","L",2016,"NAM-13",4,"L.2016.NAM-13.04.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"15","L.2016.NAM-13","L",2016,"NAM-13",5,"L.2016.NAM-13.05.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"16","L.2016.NAM-13","L",2016,"NAM-13",6,"L.2016.NAM-13.06.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"17","L.2016.NAM-13","L",2016,"NAM-13",7,"L.2016.NAM-13.07.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"18","L.2016.NAM-13","L",2016,"NAM-13",8,"L.2016.NAM-13.08.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"19","L.2016.NAM-13","L",2016,"NAM-13",9,"L.2016.NAM-13.09.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"20","L.2016.NAM-13","L",2016,"NAM-13",10,"L.2016.NAM-13.10.R","L.2016",16437.045832773,128.207042836082,0.432731754316218,682.768888975161,2936.80666666667,0.774212128301595,0.196883647035451,0.125960624368612,0.147823204350752
"21","L.2016.NAM-14","L",2016,"NAM-14",1,"L.2016.NAM-14.01.R","L.2016",3387.77796539541,58.2046215123456,0.664509875259714,752.771310298897,2655.78666666667,0.637370078355361,0.253035907943485,0.261617593828576,0.230192038185023
"22","L.2016.NAM-14","L",2016,"NAM-14",2,"L.2016.NAM-14.02.R","L.2016",3387.77796539541,58.2046215123456,0.664509875259714,752.771310298897,2655.78666666667,0.637370078355361,0.253035907943485,0.261617593828576,0.230192038185023
"23","L.2016.NAM-14","L",2016,"NAM-14",3,"L.2016.NAM-14.03.R","L.2016",3387.77796539541,58.2046215123456,0.664509875259714,752.771310298897,2655.78666666667,0.637370078355361,0.253035907943485,0.261617593828576,0.230192038185023
